K,mean pairwise ARI,std ARI,min ARI,max ARI,n compared resample pairs
3,0.876,0.129,0.71,0.998,190
4,0.66,0.277,0.194,0.997,190
5,0.723,0.27,0.261,0.997,190
6,0.984,0.006,0.968,0.994,190
7,0.923,0.141,0.618,0.997,190
