Cluster,lead_time,total_nights,party_size,previous_cancellations,is_TA_TO,is_Direct,is_Transient,is_Non_Refund,adr,is_canceled
0,-85.30937320407165,-49.80584092812291,-38.010645530809605,567.3291595265162,-81.70186678110534,74.24377781705415,19.709000370223528,-96.38892249618894,-39.345038722117195,-85.0458837629075
1,28.402697040530228,126.5908274065567,13.706242762155979,-97.24420519458154,1.4732510947595956,19.04075864085966,3.495534525602959,-86.28892636191414,10.806895904416283,-8.787986297234223
2,104.59348399143998,-20.079958786293957,-5.947743100942212,1687.8864270578545,12.371138648597537,-79.22352058686194,-31.077416865177934,404.51198578559615,-23.55146920153351,167.032683003616
3,-92.77204063167524,-41.73739099615735,-12.52063832595909,-99.87478897882079,-28.303147564973926,128.11051401570734,8.235995143510166,-92.3809617256511,-7.675674501463912,-62.158130764506666
4,24.214561384566068,-14.510593966360652,3.1340700091949603,-100.0,12.878402292536743,-54.20143837160483,-2.2527339109039772,29.524084170643775,3.5336834460160156,16.163661083173444
