Final Feature Name
lead_time
previous_cancellations
previous_bookings_not_canceled
total_nights
party_size
distribution_channel_Corporate
distribution_channel_Direct
distribution_channel_GDS
distribution_channel_TA/TO
distribution_channel_Undefined
market_segment_Aviation
market_segment_Complementary
market_segment_Corporate
market_segment_Direct
market_segment_Groups
market_segment_Offline TA/TO
market_segment_Online TA
market_segment_Undefined
deposit_type_No Deposit
deposit_type_Non Refund
deposit_type_Refundable
customer_type_Contract
customer_type_Group
customer_type_Transient
customer_type_Transient-Party
country_grouped_AUT
country_grouped_BEL
country_grouped_BRA
country_grouped_CHE
country_grouped_CN
country_grouped_DEU
country_grouped_ESP
country_grouped_FRA
country_grouped_GBR
country_grouped_IRL
country_grouped_ITA
country_grouped_NLD
country_grouped_Other
country_grouped_PRT
country_grouped_SWE
country_grouped_USA
arrival_date_month_April
arrival_date_month_August
arrival_date_month_December
arrival_date_month_February
arrival_date_month_January
arrival_date_month_July
arrival_date_month_June
arrival_date_month_March
arrival_date_month_May
arrival_date_month_November
arrival_date_month_October
arrival_date_month_September
hotel_City Hotel
hotel_Resort Hotel
